Ruddy Quaker, Protorthodes oviduca
Tholera americana
Spanish Moth, Xanthopastis regnatrix
Venerable Dart, Agrotis venerabilis
Old Man Dart, Agrotis vetusta
Glassy Cutworm, Apamea devastator
White-tailed Diver, Bellura gortynoides
Cattail Borer Moth, Bellura obliqua
Bent-Line Dart, Choephora fungorum
American dun-bar Moth, Cosmia calami
Copablepharon grandis
Army Cutworm, Euxoa auxiliaris
Master's Dart, Feltia herilis
Dingy Cutworm Moth, Feltia jaculifera
Subterranean Dart Moth, Feltia subterranea
Lateroligia ophiogramma
Iris Borer Moth, Macronoctua onusta
Orbed Narrow-wing, Magusa divaricata
American Flame-shouldered Dart, Ochropleura implecta
Ash Tip Borer Moth, Papaipema furcata
Maritime Sunflower Borer Moth, Papaipema maritima
Brown Angle Shades, Phlogophora periculosa
Pseudeustrotia indeterminata
Four-lined Borer Moth, Resapamea stipata
Greater Black-letter Dart, Xestia dolosa
Red-winged Sallow, Xystopeplus rufago
The Brother Moth, Raphia frater
Subflexus Straw, Heliothis subflexa
Arcigera Flower Moth, Schinia arcigera
Primrose Moth, Schinia florida
Leadplant Flower Moth, Schinia lucens
Bleeding Flower Moth, Schinia sanguinea
Divided Flower Moth, Schinia scissoides
Eight-spotted Forester, Alypia octomaculata
Wittfeld's Forester, Alypia wittfeldii
Beautiful Wood-nymph, Eudryas grata
Grapevine Epimenis, Psychomorpha epimenis
Apantesis carlotta
Garden Tiger Moth or Great Tiger Moth, Arctia caja
Kentucky Lichen Moth, Cisthene kentuckiensis
Scarlet-Bodied Wasp Moth, Cosmosoma myrodora
