Leanira checkerspot, Thessalia leanira
California patch, Chlosyne californica
Bordered patch, Chlosyne lacinia
Definite patch, Chlosyne definita
Banded patch, Chlosyne endeis
Crimson patch, Chlosyne janais
Rosita patch, Chlosyne rosita
Red-spotted patch, Chlosyne melitaeoides
Gorgone checkerspot, Chlosyne gorgone
Silvery checkerspot, Chlosyne nycteis
Harris's checkerspot, Chlosyne harrisii
Nuevo León checkerspot, Chlosyne kendallorum
Northern checkerspot, Chlosyne palla
Rockslide checkerspot, Chlosyne whitneyi
Sagebrush checkerspot, Chlosyne acastus
Gabb's checkerspot, Chlosyne gabbii
Hoffmann's checkerspot, Chlosyne hoffmanni
Elf, Microtia elva
Tiny checkerspot, Dymasia dymas
Elada checkerspot, Texola elada
Smudged crescent, Castilia eranites
Texan crescent, Phyciodes texana
Cuban crescent, Phyciodes frisia
Pale-banded crescent, Phyciodes tulcis
Orange-patched crescent, Phyciodes drusilla
Ardent crescent, Phyciodes ardys
Black crescent, Phyciodes ptolyca
Pine crescent, Phyciodes sitalces
Chestnut crescent, Phyciodes argentea
Vesta crescent, Phyciodes vesta
Phaon crescent, Phyciodes phaon
Pearl crescent, Phyciodes tharos
Northern crescent, Phyciodes cocyta
Tawny crescent, Phyciodes batesii
Field crescent, Phyciodes campestris
Painted crescent, Phyciodes picta
California crescent, Phyciodes orseis
Pale crescent, Phyciodes pallida
Mylitta crescent, Phyciodes mylitta
Gillett's checkerspot, Euphydryas gillettii
Variable checkerspot, Euphydryas chalcedona
Edith's checkerspot, Euphydryas editha
Baltimore checkerspot, Euphydryas phaeton
Question mark, Polygonia interrogationis
Eastern comma, Polygonia comma
Satyr comma, Polygonia satyrus
Green comma, Polygonia faunus
Hoary comma, Polygonia gracilis
Oreas comma, Polygonia oreas
Gray comma, Polygonia progne
Compton tortoiseshell, Nymphalis vaualbum
California tortoiseshell, Nymphalis californica
Mourning cloak, Nymphalis antiopa
Milbert's tortoiseshell, Aglais milberti
Small tortoiseshell, Aglais urticae
American lady, Vanessa virginiensis
Painted lady, Vanessa cardui
West Coast lady, Vanessa annabella
Kamehameha lady, Vanessa tameneamea
Red admiral, Vanessa atalanta
Orange mapwing, Hypanartia lethe
Mimic, Hypolimnas misippus
Common buckeye, Junonia coenia
Mangrove buckeye, Junonia evarete
Tropical buckeye, Junonia genoveva
White peacock, Anartia jatrophae
Cuban peacock, Anartia chrysopelea
Banded peacock, Anartia fatima
Malachite, Siproeta stelenes
Rusty-tipped page, Siproeta epaphus
Red-spotted admiral, Limenitis arthemis
Viceroy, Limenitis archippus
Weidemeyer's admiral, Limenitis weidemeyerii
Lorquin's admiral, Limenitis lorquini
Band-celled sister, Adelpha fessonia
California sister, Adelpha bredowii
Eyed sister, Adelpha paroeca
Spot-celled sister, Adelpha basiloides
Mexican sister, Adelpha diazi
Rayed sister, Adelpha lycorias melanthe
Common banner, Epiphile adrasta
Orange banner, Temenis laothoe
Mexican bluewing, Myscelia ethusa
Blackened bluewing, Myscelia cyanathe
Whitened bluewing, Myscelia cyaniris
Dingy purplewing, Eunica monima
Florida purplewing, Eunica tatila
Four-spotted sailor, Dynamine postverta
Blue-eyed sailor, Dynamine dyonis
Small-eyed sailor, Dynamine artisemia
Orange-striped eighty-eight, Diaethria pandama
Common Mestra, Mestra amymone
Red rim, Biblis hyperia
Red cracker, Hamadryas amphinome
Gray cracker, Hamadryas februa
Variable cracker, Hamadryas feronia
Glaucous cracker, Hamadryas glauconome
Pale cracker, Hamadryas amphichloe
Guatemalan cracker, Hamadryas guatemalena
Black-patched cracker, Hamadryas atlantis
Orion cecropian, Historis odius
Tailed cecropian, Historis acheronta
Blomfild's beauty, Smyrna blomfildia
Waiter daggerwing, Marpesia coresia
Many-banded daggerwing, Marpesia chiron
Ruddy daggerwing, Marpesia petreus
Antillean daggerwing, Marpesia eleuchea
One-spotted prepona, Archaeoprepona demophon
Tropical leafwing, Anaea aidea
Florida leafwing, Anaea floridalis
Goatweed leafwing, Anaea andria
Pointed leafwing, Anaea eurypyle
Angled leafwing, Anaea glycerium
Pale-spotted leafwing, Anaea pithyusa
Guatemalan leafwing, Anaea forreri
Hackberry emperor, Asterocampa celtis
Empress Leilia, Asterocampa leilia
Tawny emperor, Asterocampa clyton
Cream-banded dusky emperor, Asterocampa idyja argus
Pavon emperor, Doxocopa pavon
Silver emperor, Doxocopa laure
Orange owlet, Opsiphanes boisduvalii
Split-banded owlet, Opsiphanes cassina
White morpho, Morpho polyphemus
Southern pearly-eye, Enodia portlandia
Northern pearly-eye, Enodia anthedon
Creole pearly-eye, Enodia creola
Eyed brown, Satyrodes eurydice
Appalachian brown, Satyrodes appalachia
Nabokov's satyr, Cyllopsis pyracmon
Horsetail gemmed-satyr, Cyllopsis pseudopephredo
Canyonland satyr, Cyllopsis pertepida
Gemmed satyr, Cyllopsis gemma
Carolina satyr, Hermeuptychia sosybius
Hermeuptychia hermybius
Hermeuptychia intricata
Georgia satyr, Neonympha areolata
Mitchell's satyr, Neonympha mitchellii
Helicta satyr, Neonympha helicta
Little wood-satyr, Megisto cymela
Red satyr, Megisto rubricata
Pine satyr, Paramacera allyni
White satyr, Pareuptychia ocirrhoe
Hayden's ringlet, Coenonympha haydenii
Common ringlet, Coenonympha tullia
Common wood-nymph, Cercyonis pegala
Mead's wood-nymph, Cercyonis meadii
Great Basin wood-nymph, Cercyonis sthenele
Small wood-nymph, Cercyonis oetus
Vidler's alpine, Erebia vidleri
Ross's alpine, Erebia rossii
Disa alpine, Erebia disa
Taiga alpine, Erebia mancinus
Magdalena alpine, Erebia magdalena
Banded alpine, Erebia fasciata
Red-disked alpine, Erebia discoidalis
Theano alpine, Erebia theano
Four-dotted alpine, Erebia dabanensis (includes youngi)
Common alpine, Erebia epipsodea
Colorado alpine, Erebia callias
Reddish alpine, Erebia kozhantshikovi (includes lafontainei)
Eskimo alpine, Erebia occulta
Red-bordered satyr, Gyrocheilus patrobas
Riding's satyr, Neominois ridingsii
Great Arctic, Oeneis nevadensis
Macoun's Arctic, Oeneis macounii
Chryxus Arctic, Oeneis chryxus
Uhler's Arctic, Oeneis uhleri
Alberta Arctic, Oeneis alberta
White-veined Arctic, Oeneis taygete (distinct from Old World Oeneis bore)
Jutta Arctic, Oeneis jutta
Sentinel Arctic, Oeneis alpina (includes exubitor)
Melissa Arctic, Oeneis melissa
Polixenes Arctic, Oeneis polixenes
Early Arctic, Oeneis rosovi (includes philipi)
Klug's clearwing, Dircenna klugii
Disturbed tigerwing, Mechanitis polymnia
Broad-tipped clearwing, Pteronymia cotytto
Thick-tipped Greta, Greta morgane
Monarch, Danaus plexippus
Queen, Danaus gilippus
Soldier, Danaus eresimus
Tiger mimic-queen, Lycorea cleobaea
Dull firetip, Pyrrhopyge araxes
Mangrove skipper, Phocides pigmalion
Guava skipper, Phocides palemon
Beautiful beamer, Phocides belus
Teal beamer, Phocides urania
Mercurial skipper, Proteides mercurius
Zestos skipper, Epargyreus zestos
Silver-spotted skipper, Epargyreus clarus
Broken silverdrop, Epargyreus exadeus
Pepper-spotted silverdrop, Epargyreus socus orizaba
Weak-frosted silverdrop, Epargyreus spinosa
Hammock skipper, Polygonus leo
Manuel's skipper, Polygonus manueli
White-striped longtail, Chioides catillus
Zilpa longtail, Chioides zilpa
Golden-spotted aguna, Aguna asander
Emerald aguna, Aguna claxon
Tailed aguna, Aguna metophis
Mottled longtail, Typhedanus undulatus
Mexican longtail, Polythrix mexicana
Eight-spotted longtail, Polythrix octomaculata
Short-tailed skipper, Zestusa dorus
White-crescent longtail, Codatractus alcaeus
Arizona skipper, Codatractus arizonensis
Valeriana skipper, Codatractus mysie
Long-tailed skipper, Urbanus proteus
Pronus longtail, Urbanus pronus
Esmeralda longtail, Urbanus esmeraldus
Turquoise longtail, Urbanus evona
Cobalt longtail, Urbanus viterboana
Double-striped longtail, Urbanus belli
Dorantes longtail, Urbanus dorantes
Teleus longtail, Urbanus teleus
Tanna longtail, Urbanus tanna
Plain longtail, Urbanus simplicius
Brown longtail, Urbanus procne
White-tailed longtail, Urbanus doryssus
Two-barred flasher, Astraptes fulgerator
Small-spotted flasher, Astraptes egregius
Frosted flasher, Astraptes alardus
Gilbert's flasher, Astraptes gilberti
Yellow-tipped flasher, Astraptes anaphus
Golden banded-skipper, Autochton cellus
Sonoran banded-skipper, Autochton pseudocellus
Sierra Madre banded-skipper, Autochton siermadror
Chisos banded skipper, Autochton cincta
Spiky banded-skipper, Autochton neis
Hoary edge, Achalarus lyciades
Desert cloudywing, Achalarus casica
Dark cloudywing, Achalarus tehuanaca
Skinner's cloudywing, Achalarus albociliatus
Coyote cloudywing, Achalarus toxeus
Jalapus cloudywing, Achalarus jalapus
